"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 24 21:25:54 GMT 2023","Fri Feb 24 21:25:58 GMT 2023","3970","","Home navigation","","Home navigation","Sign up button navigates to Sign up page @id(TC-2) @smoke","Sign up button navigates to Sign up page @id(TC-2) @smoke",""
"passed","Fri Feb 24 21:26:44 GMT 2023","Fri Feb 24 21:26:48 GMT 2023","4092","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""ahoo.com"",""domain_suggestion"":""yahoo.com""} @id(TC-9) @smoke",""
"passed","Fri Feb 24 21:26:05 GMT 2023","Fri Feb 24 21:26:09 GMT 2023","4045","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""simple string value"",""email"":""simple_text"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""simple string value"",""email"":""simple_text"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"passed","Fri Feb 24 21:26:28 GMT 2023","Fri Feb 24 21:26:32 GMT 2023","4044","","Sign up","","Sign up","Email field validation - valid case @id(TC-6) @regression","Email field validation - valid case @id(TC-6) @regression",""
"passed","Fri Feb 24 21:26:36 GMT 2023","Fri Feb 24 21:26:40 GMT 2023","3908","","Sign up","","Sign up","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-8) @regression","Domain suggestion is not visible when an unrecognized domain is entered @id(TC-8) @regression",""
"passed","Fri Feb 24 21:26:48 GMT 2023","Fri Feb 24 21:26:52 GMT 2023","3922","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""htmail.com"",""domain_suggestion"":""hotmail.com""} @id(TC-9) @smoke",""
"passed","Fri Feb 24 21:26:13 GMT 2023","Fri Feb 24 21:26:17 GMT 2023","4478","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""not verified domain"",""email"":""invalid@test.com"",""validation_error"":""Email domain could not be verified""} @id(TC-5) @regression",""
"passed","Fri Feb 24 21:26:40 GMT 2023","Fri Feb 24 21:26:44 GMT 2023","4351","","Sign up","","Sign up","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-9) @smoke","Domain suggestion is visible when a recognized domain is entered: <domain> {""domain_with_typo"":""fmail.com"",""domain_suggestion"":""gmail.com""} @id(TC-9) @smoke",""
"passed","Fri Feb 24 21:25:52 GMT 2023","Fri Feb 24 21:25:54 GMT 2023","1467","","Home navigation","","Home navigation","Header elements visibility @id(TC-1) @smoke","Header elements visibility @id(TC-1) @smoke",""
"passed","Fri Feb 24 21:26:01 GMT 2023","Fri Feb 24 21:26:05 GMT 2023","3356","","Sign up","","Sign up","Continue button is disabled by default @id(TC-4) @smoke","Continue button is disabled by default @id(TC-4) @smoke",""
"passed","Fri Feb 24 21:26:32 GMT 2023","Fri Feb 24 21:26:36 GMT 2023","4302","","Sign up","","Sign up","Validation error disappears when the input field is cleared @id(TC-7) @regression","Validation error disappears when the input field is cleared @id(TC-7) @regression",""
"passed","Fri Feb 24 21:26:18 GMT 2023","Fri Feb 24 21:26:23 GMT 2023","5741","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""max email length + 1"",""email"":""101_characters_looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooong_email@testemail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"passed","Fri Feb 24 21:25:58 GMT 2023","Fri Feb 24 21:26:01 GMT 2023","3592","","Sign up","","Sign up","Sign up page elements visibility @id(TC-3) @smoke","Sign up page elements visibility @id(TC-3) @smoke",""
"passed","Fri Feb 24 21:26:23 GMT 2023","Fri Feb 24 21:26:28 GMT 2023","4282","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""email is already taken"",""email"":""test@gmail.com"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
"passed","Fri Feb 24 21:26:09 GMT 2023","Fri Feb 24 21:26:13 GMT 2023","4154","","Sign up","","Sign up","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression","Email field validation - invalid case: <case> {""case"":""email without domain extension"",""email"":""invalid@email"",""validation_error"":""Email is invalid or already taken""} @id(TC-5) @regression",""
